"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value","Text"
"Abacus","PHB","none","adventuring gear","","","2 lb.","2 gp",""
"Acid (vial)","PHB","none","adventuring gear","","","1 lb.","25 gp","As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage."
"Adamantine Ammunition","XGE","unknown","ammunition, generic variant","","","","","Ammunition made of or coated with adamantine is unusually effective when used to break objects. Whenever a piece of adamantine ammunition hits an object, the hit is a critical hit.The adamantine version of ten pieces of ammunition costs 500 gp more than the normal version, whether the ammunition is made of the metal or coated with it. Base items. This item variant can be applied to the following base items:Arrow (Adamantine Arrow)Blowgun Needle (Adamantine Blowgun Needle)Crossbow Bolt (Adamantine Crossbow Bolt)Modern Bullet (Adamantine Modern Bullet)Renaissance Bullet (Adamantine Renaissance Bullet)Sling Bullet (Adamantine Sling Bullet)"
"Adamantine Bar","WDH","none","trade good","","","10 lb.","1,000 gp",""
"Adamantine Weapon","XGE","unknown","generic variant","","","","","Melee weapons made of or coated with adamantine are unusually effective when used to break objects. Whenever an adamantine weapon hits an object, the hit is a critical hit.The adamantine version of a melee weapon costs 500 gp more than the normal version, whether the weapon is made of the metal or coated with it. Base items. This item variant can be applied to the following base items:Antimatter Rifle (Adamantine Antimatter Rifle)Automatic Pistol (Adamantine Automatic Pistol)Automatic Rifle (Adamantine Automatic Rifle)Battleaxe (Adamantine Battleaxe)Blowgun (Adamantine Blowgun)Club (Adamantine Club)Dagger (Adamantine Dagger)Dart (Adamantine Dart)Double-Bladed Scimitar (Adamantine Double-Bladed Scimitar)Flail (Adamantine Flail)Glaive (Adamantine Glaive)Greataxe (Adamantine Greataxe)Greatclub (Adamantine Greatclub)Greatsword (Adamantine Greatsword)Halberd (Adamantine Halberd)Hand Crossbow (Adamantine Hand Crossbow)Handaxe (Adamantine Handaxe)Heavy Crossbow (Adamantine Heavy Crossbow)Hooked Shortspear (Adamantine Hooked Shortspear)Hunting Rifle (Adamantine Hunting Rifle)Javelin (Adamantine Javelin)Lance (Adamantine Lance)Laser Pistol (Adamantine Laser Pistol)Laser Rifle (Adamantine Laser Rifle)Light Crossbow (Adamantine Light Crossbow)Light Hammer (Adamantine Light Hammer)Light Repeating Crossbow (Adamantine Light Repeating Crossbow)Longbow (Adamantine Longbow)Longsword (Adamantine Longsword)Mace (Adamantine Mace)Maul (Adamantine Maul)Morningstar (Adamantine Morningstar)Musket (Adamantine Musket)Pike (Adamantine Pike)Pistol (Adamantine Pistol)Quarterstaff (Adamantine Quarterstaff)Rapier (Adamantine Rapier)Revolver (Adamantine Revolver)Scimitar (Adamantine Scimitar)Shortbow (Adamantine Shortbow)Shortsword (Adamantine Shortsword)Shotgun (Adamantine Shotgun)Sickle (Adamantine Sickle)Sling (Adamantine Sling)Spear (Adamantine Spear)Trident (Adamantine Trident)War Pick (Adamantine War Pick)Warhammer (Adamantine Warhammer)Whip (Adamantine Whip)Yklwa (Adamantine Yklwa)"
"Adjustable Stilts","WDH","unknown","other","","","","","The stilts take 1 minute to put on or remove. They increase the height of any humanoid wearing them by 2 to 5 feet. Each stilt weighs 8 pounds and is 1 foot long when fully collapsed."
"Airship","DMG","none","vehicle (air)","","Speed: 8 mphCarrying Capacity: 1 ton cargo, 20 passengersCrew 10, AC 13, HP 300","","20,000 gp",""
"Alchemist's Fire (flask)","PHB","none","adventuring gear","","","1 lb.","50 gp","This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames."
"Alchemist's Supplies","PHB","none","artisan's tools","","","8 lb.","50 gp","Alchemist's supplies enable a character to produce useful concoctions, such as acid or alchemist's fire. Components. Alchemist's supplies include two glass beakers, a metal frame to hold a beaker in place over an open flame, a glass stirring rod, a small mortar and pestle, and a pouch of common alchemical ingredients, including salt, powdered iron, and purified water. Arcana. Proficiency with alchemist's supplies allows you to unlock more information on Arcana checks involving potions and similar materials. Investigation. When you inspect an area for clues, proficiency with alchemist's supplies grants additional insight into any chemicals or other substances that might have been used in the area. Alchemical Crafting. You can use this tool proficiency to create alchemical items. A character can spend money to collect raw materials, which weigh 1 pound for every 50 gp spent. The DM can allow a character to make a check using the indicated skill with advantage. As part of a long rest, you can use alchemist's supplies to make one dose of acid, alchemist's fire, antitoxin, oil, perfume, or soap. Subtract half the value of the created item from the total gp worth of raw materials you are carrying.Alchemist's SuppliesActivityDCCreate a puff of thick smoke10Identify a poison10Identify a substance15Start a fire15Neutralize acid20See the Tool Proficiencies entry for more information."
"Ale (Gallon)","PHB","none","food and drink","","","","2 sp",""
